sysid;customerId;last;first;gender
3000;C3000;Joseph;Trump;M
1000;C1000;Buchanan;Warren;F
1001;C1001;Tyler;Theodore;M
1002;C1002;Harding;Chester;F
1003;C1003;Van Buren;Herbert;M
1004;C1004;Washington;Grover;F
1005;C1005;Kennedy;Woodrow;F
1006;C1006;Johnson;Herbert;F
1007;C1007;Garfield;Benjamin;F
1008;C1008;Tyler;Zachary;M
1009;C1009;Roosevelt;Millard;M
1010;C1010;Harrison;Gerald;F
1011;C1011;Nixon;Franklin;M
1012;C1012;Coolidge;Calvin;M
1013;C1013;Wilson;Jimmy;M
1014;C1014;Cleveland;Bill;M
1015;C1015;Harding;Grover;F
1016;C1016;Johnson;Lyndon;F
1017;C1017;Madison;Ulysses;F
1018;C1018;Johnson;Chester;F
1019;C1019;Harding;Chester;F
1020;C1020;Adams;George;M
1021;C1021;Jefferson;Rutherford;M
1022;C1022;Eisenhower;Zachary;F
1023;C1023;Taft;Bill;M
1024;C1024;Adams;Richard;F
1025;C1025;McKinley;Chester;F
1026;C1026;Johnson;Harry;M
1027;C1027;Reagan;Rutherford;F
1028;C1028;Pierce;Lyndon;F
1029;C1029;Reagan;Abraham;F
1030;C1030;Clinton;Benjamin;F
1031;C1031;Kennedy;Millard;M
1032;C1032;Lincoln;Franklin;F
1033;C1033;Hoover;Zachary;M
1034;C1034;Johnson;Warren;F
1035;C1035;Nixon;Warren;F
1036;C1036;Johnson;Gerald;F
1037;C1037;Ford;Calvin;F
1038;C1038;Tyler;Martin;M
1039;C1039;Jackson;Calvin;F
1040;C1040;Johnson;John;M
1041;C1041;Adams;Calvin;F
1042;C1042;Tyler;Bill;M
1043;C1043;Nixon;William;M
1044;C1044;Garfield;Zachary;F
1045;C1045;Coolidge;Ulysses;M
1046;C1046;Hayes;Woodrow;F
1047;C1047;Polk;Woodrow;M
1048;C1048;Tyler;Millard;M
1049;C1049;Quincy;Woodrow;M
1050;C1050;Cleveland;Grover;M
1051;C1051;Carter;Calvin;F
1052;C1052;Adams;Ulysses;M
1053;C1053;McKinley;Harry;F
1054;C1054;Monroe;Warren;F
1055;C1055;Lincoln;Theodore;F
1056;C1056;Wilson;Warren;M
1057;C1057;Madison;Dwight;F
1058;C1058;Roosevelt;Ulysses;F
1059;C1059;Jackson;John;F
1060;C1060;Adams;Abraham;M
1061;C1061;Madison;Zachary;F
1062;C1062;Taft;Thomas;F
1063;C1063;Hoover;Zachary;F
1064;C1064;Coolidge;Dwight;F
1065;C1065;Eisenhower;Warren;F
1066;C1066;Adams;Richard;M
1067;C1067;Polk;Ulysses;F
1068;C1068;Harding;Richard;F
1069;C1069;Johnson;Martin;F
1070;C1070;Adams;Thomas;M
1071;C1071;Truman;Benjamin;M
1072;C1072;Adams;Grover;F
1073;C1073;Monroe;Zachary;M
1074;C1074;Monroe;Richard;M
1075;C1075;Polk;Ronald;F
1076;C1076;Roosevelt;Warren;F
1077;C1077;Johnson;Warren;M
1078;C1078;Cleveland;Benjamin;F
1079;C1079;Wilson;Richard;M
1080;C1080;Kennedy;Harry;F
1081;C1081;Harrison;Richard;M
1082;C1082;Garfield;Lyndon;M
1083;C1083;Johnson;Lyndon;F
1084;C1084;Reagan;Jimmy;F
1085;C1085;Van Buren;Franklin;F
1086;C1086;Pierce;Ulysses;M
1087;C1087;Arthur;Benjamin;F
1088;C1088;Harrison;Andrew;M
1089;C1089;Johnson;Millard;M
1090;C1090;Buchanan;Theodore;M
1091;C1091;Cleveland;Theodore;M
1092;C1092;Carter;Bill;F
1093;C1093;Grant;James;F
1094;C1094;Polk;Herbert;M
1095;C1095;Adams;Jimmy;M
1096;C1096;Taft;Calvin;F
1097;C1097;Adams;George;M
1098;C1098;Clinton;Franklin;F
1099;C1099;Cleveland;William;M
1100;C1100;Hoover;John;F
1101;C1101;Jackson;Millard;F
1102;C1102;Carter;Millard;M
1103;C1103;Ford;Millard;F
1104;C1104;Reagan;Thomas;F
1105;C1105;Truman;Thomas;M
1106;C1106;Jackson;Theodore;M
1107;C1107;Harrison;Thomas;M
1108;C1108;Roosevelt;John;F
1109;C1109;Coolidge;Andrew;F
1110;C1110;Hoover;Benjamin;F
1111;C1111;Carter;Lyndon;F
1112;C1112;Johnson;Benjamin;F
1113;C1113;Grant;Theodore;F
1114;C1114;Fillmore;Warren;M
1115;C1115;Reagan;Theodore;M
1116;C1116;Monroe;Warren;M
1117;C1117;Harrison;Theodore;F
1118;C1118;Harding;Rutherford;F
1119;C1119;Johnson;Benjamin;M
1120;C1120;Jefferson;Dwight;F
1121;C1121;Grant;Bill;F
1122;C1122;Roosevelt;William;F
1123;C1123;Garfield;Benjamin;M
1124;C1124;Washington;Millard;F
1125;C1125;Roosevelt;Zachary;M
1126;C1126;Eisenhower;Benjamin;F
1127;C1127;Johnson;Warren;F
1128;C1128;Johnson;Bill;M
1129;C1129;Washington;Ulysses;M
1130;C1130;Carter;Theodore;M
1131;C1131;Ford;Calvin;M
1132;C1132;Carter;Woodrow;F
1133;C1133;Harding;Martin;M
1134;C1134;Carter;Millard;F
1135;C1135;Pierce;Bill;M
1136;C1136;Harrison;Ronald;M
1137;C1137;Hayes;William;M
1138;C1138;Polk;Ulysses;M
1139;C1139;Clinton;Andrew;F
1140;C1140;Adams;James;M
1141;C1141;Johnson;Woodrow;F
1142;C1142;Hoover;Lyndon;M
1143;C1143;Buchanan;Ulysses;F
1144;C1144;Lincoln;Thomas;M
1145;C1145;McKinley;Rutherford;F
1146;C1146;Hayes;Rutherford;M
1147;C1147;Washington;Ulysses;M
1148;C1148;Nixon;Rutherford;M
1149;C1149;Hayes;William;M
1150;C1150;Harrison;Bill;M
1151;C1151;Adams;Martin;M
1152;C1152;Truman;Woodrow;M
1153;C1153;Johnson;Dwight;M
1154;C1154;Johnson;Woodrow;M
1155;C1155;Van Buren;Franklin;M
1156;C1156;Buchanan;Rutherford;M
1157;C1157;Jackson;Martin;F
1158;C1158;Harding;Calvin;M
1159;C1159;Carter;Abraham;M
1160;C1160;Taylor;Ronald;M
1161;C1161;Jackson;Herbert;M
1162;C1162;Harrison;Andrew;M
1163;C1163;Reagan;Richard;F
1164;C1164;Adams;Ulysses;F
1165;C1165;Cleveland;Warren;M
1166;C1166;Tyler;Grover;M
1167;C1167;Harrison;James;M
1168;C1168;Carter;Ulysses;M
1169;C1169;Ford;Martin;M
1170;C1170;Roosevelt;Woodrow;F
1171;C1171;Clinton;Dwight;F
1172;C1172;Hayes;Richard;M
1173;C1173;Roosevelt;Benjamin;M
1174;C1174;Truman;Franklin;F
1175;C1175;Tyler;Chester;M
1176;C1176;Kennedy;Martin;M
1177;C1177;Garfield;Andrew;M
1178;C1178;Johnson;Calvin;F
1179;C1179;McKinley;Ronald;M
1180;C1180;Jefferson;Bill;F
1181;C1181;Van Buren;Chester;F
1182;C1182;Clinton;Thomas;F
1183;C1183;Buchanan;Herbert;M
1184;C1184;Jefferson;Millard;F
1185;C1185;Reagan;Dwight;F
1186;C1186;Arthur;James;F
1187;C1187;Johnson;George;F
1188;C1188;Quincy;Ronald;F
1189;C1189;Garfield;Benjamin;F
1190;C1190;Adams;John;F
1191;C1191;Taylor;George;M
1192;C1192;Adams;Franklin;F
1193;C1193;Buchanan;Warren;M
1194;C1194;Johnson;Thomas;M
1195;C1195;Harrison;Zachary;M
1196;C1196;Cleveland;Theodore;F
1197;C1197;Taft;Warren;F
1198;C1198;Garfield;Gerald;F
1199;C1199;Polk;Calvin;M
1200;C1200;Kennedy;Ronald;M
1201;C1201;Carter;Rutherford;M
1202;C1202;Quincy;Woodrow;F
1203;C1203;Arthur;Gerald;M
1204;C1204;Taft;James;F
1205;C1205;Polk;Gerald;M
1206;C1206;Tyler;Richard;F
1207;C1207;McKinley;Harry;M
1208;C1208;Coolidge;Martin;F
1209;C1209;Taylor;Warren;M
1210;C1210;Madison;Thomas;M
1211;C1211;Arthur;Theodore;M
1212;C1212;Ford;Rutherford;F
1213;C1213;Hoover;Lyndon;F
1214;C1214;Wilson;Harry;F
1215;C1215;Reagan;Millard;M
1216;C1216;Harrison;Jimmy;F
1217;C1217;Johnson;George;M
1218;C1218;Jefferson;Gerald;F
1219;C1219;Eisenhower;Franklin;F
1220;C1220;Hoover;Lyndon;M
1221;C1221;Pierce;Warren;F
1222;C1222;Madison;James;F
1223;C1223;Kennedy;Millard;M
1224;C1224;Nixon;Ulysses;F
1225;C1225;Cleveland;Ronald;M
1226;C1226;Kennedy;Martin;M
1227;C1227;Adams;Jimmy;F
1228;C1228;Johnson;John;F
1229;C1229;Arthur;Warren;M
1230;C1230;Kennedy;Abraham;M
1231;C1231;Coolidge;Lyndon;F
1232;C1232;Monroe;Andrew;F
1233;C1233;Buchanan;George;M
1234;C1234;Van Buren;Ulysses;M
1235;C1235;Jackson;Warren;M
1236;C1236;Van Buren;Benjamin;F
1237;C1237;Roosevelt;Andrew;F
1238;C1238;Roosevelt;James;M
1239;C1239;Cleveland;Zachary;F
1240;C1240;Ford;Millard;F
1241;C1241;Garfield;Dwight;F
1242;C1242;Washington;Grover;F
1243;C1243;Ford;Abraham;F
1244;C1244;Johnson;Franklin;M
1245;C1245;Coolidge;George;F
1246;C1246;Adams;Ronald;F
1247;C1247;Jackson;Lyndon;F
1248;C1248;Nixon;Dwight;F
1249;C1249;Lincoln;Grover;M
1250;C1250;Monroe;Calvin;M
1251;C1251;Garfield;Lyndon;F
1252;C1252;Washington;George;M
1253;C1253;Lincoln;William;M
1254;C1254;Johnson;Calvin;M
1255;C1255;Cleveland;Ronald;M
1256;C1256;Taft;Herbert;M
1257;C1257;Clinton;James;F
1258;C1258;Arthur;John;F
1259;C1259;Lincoln;Andrew;M
1260;C1260;Jackson;Harry;M
1261;C1261;Clinton;Rutherford;M
1262;C1262;Lincoln;Thomas;M
1263;C1263;Van Buren;Chester;M
1264;C1264;Harrison;Calvin;M
1265;C1265;Nixon;Ronald;F
1266;C1266;Buchanan;Woodrow;M
1267;C1267;McKinley;Harry;M
1268;C1268;McKinley;Grover;F
1269;C1269;Harrison;John;F
1270;C1270;Madison;Calvin;F
1271;C1271;Quincy;Abraham;F
1272;C1272;Roosevelt;Chester;M
1273;C1273;Harrison;Millard;F
1274;C1274;Arthur;Harry;F
1275;C1275;Adams;Lyndon;F
1276;C1276;Coolidge;Grover;F
1277;C1277;Truman;William;M
1278;C1278;Cleveland;Gerald;F
1279;C1279;Garfield;Ulysses;M
1280;C1280;Pierce;Benjamin;F
1281;C1281;Truman;George;F
1282;C1282;Fillmore;Bill;F
1283;C1283;Polk;Harry;F
1284;C1284;Arthur;James;F
1285;C1285;Coolidge;George;F
1286;C1286;Wilson;George;M
1287;C1287;Harrison;Herbert;M
1288;C1288;McKinley;Calvin;M
1289;C1289;Adams;Ronald;F
1290;C1290;Eisenhower;William;F
1291;C1291;Washington;William;M
1292;C1292;Roosevelt;Bill;M
1293;C1293;Garfield;Warren;F
1294;C1294;Truman;Woodrow;M
1295;C1295;Adams;Theodore;M
1296;C1296;Taylor;Calvin;F
1297;C1297;Eisenhower;Gerald;F
1298;C1298;Arthur;Rutherford;M
1299;C1299;Ford;Dwight;M
1300;C1300;Eisenhower;John;F
1301;C1301;Tyler;Ulysses;M
1302;C1302;Jackson;Richard;M
1303;C1303;Monroe;Thomas;M
1304;C1304;Adams;Warren;F
1305;C1305;Johnson;George;M
1306;C1306;Cleveland;Ulysses;F
1307;C1307;Johnson;George;F
1308;C1308;Monroe;Grover;F
1309;C1309;Nixon;Abraham;M
1310;C1310;Nixon;Franklin;M
1311;C1311;Buchanan;Warren;F
1312;C1312;Hoover;Herbert;F
1313;C1313;Johnson;Zachary;F
1314;C1314;Taft;Grover;F
1315;C1315;Ford;Richard;F
1316;C1316;Grant;Martin;F
1317;C1317;McKinley;Franklin;F
1318;C1318;McKinley;Herbert;M
1319;C1319;Johnson;George;F
1320;C1320;Truman;Grover;F
1321;C1321;Ford;Benjamin;M
1322;C1322;Johnson;Zachary;M
1323;C1323;Taft;Rutherford;F
1324;C1324;Adams;Gerald;M
1325;C1325;Clinton;Jimmy;F
1326;C1326;Ford;Benjamin;F
1327;C1327;Lincoln;Ulysses;F
1328;C1328;Clinton;Gerald;F
1329;C1329;Washington;Grover;F
1330;C1330;Reagan;Thomas;F
1331;C1331;Johnson;Franklin;M
1332;C1332;Johnson;Herbert;M
1333;C1333;Harding;Calvin;F
1334;C1334;Roosevelt;Martin;M
1335;C1335;Fillmore;Dwight;M
1336;C1336;Eisenhower;Jimmy;M
1337;C1337;Harrison;Dwight;F
1338;C1338;Jefferson;Herbert;F
1339;C1339;Clinton;Calvin;F
1340;C1340;Harding;Warren;M
1341;C1341;Truman;Jimmy;M
1342;C1342;Truman;Ronald;M
1343;C1343;Wilson;Richard;M
1344;C1344;Harrison;Chester;F
1345;C1345;Washington;Benjamin;M
1346;C1346;Roosevelt;Harry;F
1347;C1347;Ford;Warren;F
1348;C1348;Coolidge;Abraham;F
1349;C1349;Monroe;Rutherford;F
1350;C1350;Nixon;Rutherford;F
1351;C1351;Ford;George;M
1352;C1352;Roosevelt;George;F
1353;C1353;Coolidge;Abraham;F
1354;C1354;Jefferson;Benjamin;M
1355;C1355;Kennedy;Harry;F
1356;C1356;Van Buren;Herbert;F
1357;C1357;Tyler;Millard;M
1358;C1358;Polk;John;M
1359;C1359;McKinley;Warren;M
1360;C1360;Johnson;Warren;F
1361;C1361;Grant;George;M
1362;C1362;Taylor;Warren;F
1363;C1363;Washington;William;M
1364;C1364;Harding;James;F
1365;C1365;Fillmore;James;M
1366;C1366;Hoover;Warren;F
1367;C1367;Fillmore;Warren;F
1368;C1368;Monroe;Richard;F
1369;C1369;Roosevelt;Thomas;M
1370;C1370;Taylor;James;M
1371;C1371;Adams;Bill;M
1372;C1372;Wilson;Lyndon;F
1373;C1373;Nixon;Warren;F
1374;C1374;Coolidge;Thomas;M
1375;C1375;Arthur;Rutherford;M
1376;C1376;Cleveland;Thomas;F
1377;C1377;Grant;Herbert;M
1378;C1378;Adams;Richard;M
1379;C1379;Kennedy;James;M
1380;C1380;Polk;Harry;F
1381;C1381;Roosevelt;Martin;F
1382;C1382;Arthur;Chester;M
1383;C1383;Eisenhower;Rutherford;F
1384;C1384;Pierce;Richard;M
1385;C1385;Buchanan;Grover;M
1386;C1386;Carter;Benjamin;M
1387;C1387;Roosevelt;James;M
1388;C1388;Adams;Grover;F
1389;C1389;Quincy;Rutherford;M
1390;C1390;Jefferson;Bill;M
1391;C1391;Hayes;Jimmy;M
1392;C1392;Monroe;Ulysses;M
1393;C1393;McKinley;Dwight;F
1394;C1394;Carter;Chester;M
1395;C1395;Hoover;Franklin;F
1396;C1396;Quincy;Grover;F
1397;C1397;Pierce;Grover;F
1398;C1398;Jackson;Gerald;M
1399;C1399;Harrison;Zachary;M
1400;C1400;Hoover;Ronald;F
1401;C1401;Jefferson;Calvin;F
1402;C1402;Johnson;Calvin;M
1403;C1403;Roosevelt;Warren;F
1404;C1404;Harrison;Ronald;F
1405;C1405;Clinton;Ronald;M
1406;C1406;Harding;Chester;M
1407;C1407;Polk;William;M
1408;C1408;Ford;Bill;F
1409;C1409;Harrison;Benjamin;M
1410;C1410;Fillmore;John;M
1411;C1411;Johnson;Martin;M
1412;C1412;Roosevelt;Millard;M
1413;C1413;Arthur;Martin;M
1414;C1414;Lincoln;Jimmy;M
1415;C1415;Nixon;Harry;F
1416;C1416;Nixon;Harry;F
1417;C1417;Harrison;Grover;M
1418;C1418;Coolidge;John;M
1419;C1419;Coolidge;Theodore;M
1420;C1420;Hoover;Chester;M
1421;C1421;Buchanan;George;F
1422;C1422;Pierce;Rutherford;M
1423;C1423;Van Buren;Benjamin;M
1424;C1424;Taylor;Martin;M
1425;C1425;Truman;Benjamin;F
1426;C1426;Johnson;Franklin;M
1427;C1427;Eisenhower;Benjamin;F
1428;C1428;Washington;Jimmy;F
1429;C1429;Kennedy;Theodore;F
1430;C1430;Washington;Jimmy;M
1431;C1431;Hoover;Rutherford;F
1432;C1432;Jefferson;Theodore;F
1433;C1433;Garfield;Harry;M
1434;C1434;Polk;Bill;M
1435;C1435;Eisenhower;Grover;F
1436;C1436;Kennedy;Thomas;M
1437;C1437;Buchanan;Grover;M
1438;C1438;Jackson;Herbert;F
1439;C1439;Truman;George;M
1440;C1440;Harrison;Theodore;M
1441;C1441;Reagan;Rutherford;F
1442;C1442;Eisenhower;Calvin;M
1443;C1443;Grant;Woodrow;F
1444;C1444;Jackson;Dwight;M
1445;C1445;Van Buren;Ulysses;M
1446;C1446;Jefferson;Dwight;F
1447;C1447;Garfield;Woodrow;F
1448;C1448;Polk;Rutherford;F
1449;C1449;Jefferson;Richard;M
1450;C1450;Coolidge;Bill;F
1451;C1451;Johnson;James;M
1452;C1452;Polk;Grover;F
1453;C1453;Quincy;Benjamin;M
1454;C1454;Quincy;Woodrow;M
1455;C1455;Johnson;Warren;F
1456;C1456;Adams;George;F
1457;C1457;Roosevelt;Chester;F
1458;C1458;Harrison;Herbert;M
1459;C1459;Quincy;John;F
1460;C1460;Jefferson;James;M
1461;C1461;Reagan;Martin;F
1462;C1462;Harrison;Benjamin;M
1463;C1463;Coolidge;Chester;F
1464;C1464;Wilson;Theodore;F
1465;C1465;Johnson;Harry;F
1466;C1466;Jackson;Abraham;F
1467;C1467;Buchanan;John;M
1468;C1468;McKinley;Calvin;F
1469;C1469;Reagan;Herbert;F
1470;C1470;Lincoln;Ulysses;M
1471;C1471;Coolidge;Zachary;M
1472;C1472;Washington;Ulysses;M
1473;C1473;Taylor;Warren;M
1474;C1474;Clinton;Ulysses;F
1475;C1475;Cleveland;Andrew;M
1476;C1476;Taft;James;M
1477;C1477;Reagan;Bill;M
1478;C1478;Coolidge;Benjamin;M
1479;C1479;Buchanan;Andrew;M
1480;C1480;Hoover;William;M
1481;C1481;Adams;Chester;F
1482;C1482;Pierce;Abraham;F
1483;C1483;Nixon;Benjamin;F
1484;C1484;Nixon;Harry;M
1485;C1485;Ford;Bill;F
1486;C1486;Truman;Benjamin;F
1487;C1487;Jackson;Warren;F
1488;C1488;Coolidge;John;F
1489;C1489;Washington;Abraham;F
1490;C1490;Reagan;George;M
1491;C1491;Arthur;Calvin;F
1492;C1492;Eisenhower;Rutherford;F
1493;C1493;Van Buren;Abraham;F
1494;C1494;Fillmore;Harry;M
1495;C1495;Van Buren;Harry;F
1496;C1496;Adams;Ronald;F
1497;C1497;Adams;Rutherford;M
1498;C1498;Kennedy;Benjamin;M
1499;C1499;Reagan;Benjamin;F
1500;C1500;Adams;Millard;M
1501;C1501;Johnson;Ulysses;F
1502;C1502;Hoover;Dwight;M
1503;C1503;Harding;Lyndon;M
1504;C1504;Adams;Benjamin;F
1505;C1505;Jefferson;Jimmy;F
1506;C1506;Taylor;Franklin;F
1507;C1507;Arthur;Lyndon;F
1508;C1508;Roosevelt;Jimmy;M
1509;C1509;Quincy;Warren;F
1510;C1510;Pierce;Chester;M
1511;C1511;McKinley;Bill;F
1512;C1512;Carter;Grover;M
1513;C1513;Harding;Grover;M
1514;C1514;Tyler;Lyndon;M
1515;C1515;Taft;Benjamin;F
1516;C1516;Adams;Martin;M
1517;C1517;Buchanan;Dwight;M
1518;C1518;Polk;Lyndon;M
1519;C1519;Tyler;Ronald;F
1520;C1520;Cleveland;Gerald;F
1521;C1521;Nixon;Franklin;F
1522;C1522;Eisenhower;Franklin;M
1523;C1523;Monroe;Dwight;F
1524;C1524;Hoover;John;M
1525;C1525;Buchanan;Benjamin;M
1526;C1526;Clinton;Zachary;M
1527;C1527;Harrison;Ronald;F
1528;C1528;Quincy;Calvin;M
1529;C1529;Grant;Abraham;F
1530;C1530;Lincoln;Zachary;F
1531;C1531;Carter;Calvin;M
1532;C1532;Harrison;Bill;F
1533;C1533;Kennedy;Chester;F
1534;C1534;Polk;Millard;M
1535;C1535;Grant;Grover;M
1536;C1536;Coolidge;Martin;M
