No,Prefix,First Name,Last Name,Email,City,State,Zip code,Date,Campaign,Phone,Marital_Status
1,Mr,Guillaume,Adamo,gadamo@aa.com,El Centro,CA,92243,12/5/2018,Email Blast,,Yes
750,Mr,Marc,Balk,markbalk@aa.com,Superior,CO,88025,11/18/2018,,(262)358-6636,No
2,Mrs,Frederique,Andree,fandree@jamia.com,Valley Center,CA,92082,5/27/2018,Partner Promotion,(810)292-9388,Yes
3,Mr,Aron,Arnould,aarnould@banquedefrance.com,Gulfport,MS,39501,7/22/2018,Social Media,856.636.8749,Yes
4,Mr,Philippe,Banco,pbanco@photospace.com,Bato Rouge,LA,70815,2/23/2018,Partner Promotion,,Yes
5,Mr,Adam, Doris ,adoris@aa.com,Durham,NC,27701,10/7/2018,Email Blast,,Yes
6,Mr,Anthony,Roride,aroride@bouygues.com,Livonia,MI,48150,4/16/2018,Email Blast,,Yes
7,Mrs,Amanda,Coroque,acoroque@bpce.com,New Berlin,WI,53151,7/29/2018,Email Blast,773-573-6914,Yes
8,Mr,Khalid,Craford,kcraford@divape.com,Brunswick,GA,31520,2/4/2018,Analyst Recommendations,,No
9,Mr,Albert,Cruz,acruz@jetblue.com,Memphis,TN,38141,1/24/2018,Social Media,(605)4142147,No
10,Mr,Mark,Cruz,mcru@cdc.gov,Washington,MD,20004,7/7/2018,Email Blast,410.655.8723,No
11,Mr,Gerard,Daniele,gdaniele@united.com,Portland,OR,97204,5/24/2018,Partner Promotion,,No
12,Mr,Andre,Donalle,adonalle@minefi.org,Piscataway,NJ,8854,3/30/2018,Social Media,6313353414,Yes
13,Mrs,Safietou, Fields,afieldsg3@gfp.com,Philadelphia,PA,19111,10/17/2018,Analyst Recommendations,304985651,Yes
14,Mr,Pierre,Flores,aflores8m@united.com,Wheaton,IL,60187,9/11/2018,Partner Promotion,,Yes
15,Mr,Gabriel,Fordeau,afordeau@pixonyx.com,Seattle,WA,98161,5/14/2018,Email Blast,,Yes
16,Mr,Anthony,Fordet,afordet@scheinderelectric.com,Newark,DE,19714,7/4/2018,Email Blast,,Yes
17,Mr,Sylvain,Forbi,aforbi@jetblue.com,Huntsville,AL,35801,12/25/2014,Analyst Recommendations,9313139635,Yes
18,Mr,Andre,Gonzales,agonzales@boeing.com,Wausau,WI,54401,7/15/2018,Email Blast,(414)661-9598,Yes
19,Mrs,Anne,Gonzalez ,agonzalez@aaadata.com,Boston,MA,2107,10/18/2018,Email Blast,,Yes
20,Mrs,Andrea,Grene,agrene@laposte.com,Eureka,CA,95501,1/26/2018,Email Blast,815-828-2147,Yes
21,Mr,Marc-Alexandre,Gutierrez,agutierrez69@purevolume.com,Bato Rouge,LA,70815,12/6/2018,Partner Promotion,6105453615,No
22,Mr,Alexander,Harpe ,aharpe@cridf.com,Chevy Chase,MD,20815,8/31/2018,Email Blast,408-540-1785,No
23,Mr,Mohamed,Harse,mharse@istockphoto.com,Phoenix,AZ,85003,11/26/2014,Analyst Recommendations,972.303.9197,No
24,Mr,Cyrille, C50Havis,ahavis@skajo.com,Detroit,MI,48207,1/19/2018,Email Blast,518-966-7987,Yes
25,Mr,Adam,Henry,ahenry88@aa.com,New York,NY,10013,,,,Yes
26,Mr,Philippe,Jason,ajackson4y@chicagotribune.com,Kyle,TX,78640,7/7/2018,Email Blast,7156626764,Yes
27,Mrs,Malika,Jordan,ajordana0@ask.com,Springfield,IL,62703,3/8/2018,Partner Promotion,(913)388-2079,Yes
28,Mr,Emmanuel,Kelly,akellyjs@united.com,Omaha,NE,68114,4/2/2018,Analyst Recommendations,(410)669-1642,Yes
29,Mrs,Raphaele,King,akingeq@soup.io,Shepherdstown,WV,25443,7/10/2018,Email Blast,,Yes
30,Mr,Laurent,Lane,alane2g@cam.ac.uk,Spokane,WA,99202,9/21/2018,Email Blast,936-336-3951,Yes
31,Mr,Thierry,Lewis,alewism0@aa.com,Roanoke,VA,24011,2/13/2018,Email Blast,614-801-9788,Yes
32,Mrs,Amie,Lynch,alynch@technip.com,Philadelphia,PA,19103,12/22/2014,Email Blast,505-977-3911,Yes
33,Mr,Abdellatif,Maliki,amaliki@psa.com,Englewood,CO,80112,6/18/2018,Email Blast,201-709-6245,Yes
34,Mr,Antonio,Marshall,amarshallax@ubisoft.com,Sacramento,CA,94260,8/29/2018,Email Blast,,Yes
35,Mr,Damien,Martin,amartin20@earthlink.net,Berkeley,CA,94704,8/27/2018,Partner Promotion,,Yes
36,Mr,Envel,Matrice,amatrice@irs.gov,Saint Louis,MO,63108,4/26/2018,Email Blast,504-979-9175,No
37,Mr,Patrick,Matty,amatthewsrm@adeo.com,Evanston,IL,60219,6/5/2018,Email Blast,(212)675-8570,No
38,Mrs,Victoria,Midon,amidon@webnode.com,Sacramento,CA,95814,12/27/2014,Email Blast,,No
39,Mrs,Aline,Midon,amcdonalddy@dell.com,Rocky Mount,NC,27801,7/20/2018,Email Blast,210-812-9597,No
40,Mr,serge,Milleri,amillerjf@onf.com,Wenatchee,WA,98801,6/21/2018,Partner Promotion,854637829,No
41,Mr,philippe,Mongom,amontgomery8o@airtbus.com,Dunwoody,GA,30338,11/27/2014,Email Blast,,No
42,Mr,Antonio, Murrati,amurrati@agrica.org,Roanoke,TX,76262,12/28/2014,Analyst Recommendations,,No
43,Mr,Pascal,Murrati,amurraycv@jiathis.com,Boise,ID,83702,11/24/2014,Partner Promotion,907-231-4722,No
44,Mr,Chris,Murraty,amurraylt@foxnews.com,Milford,KS,66514,8/21/2018,Analyst Recommendations,305-606-7291,No
45,Mrs,Anna,Neson,aneson@sfr.com,Moroni,UT,84646,12/29/2014,Email Blast,907-741-1044,No
46,Mrs,Katia,Nguyen ,knguyen@boeing.com,St Augustine,FL,32084,12/20/2014,Partner Promotion,952-768-2416,Yes
47,Mr,Laurent,Ouvens,aouvense@canalblog.com,Bato Rouge,LA,32507,2/22/2018,Analyst Recommendations,,Yes
48,Mrs,Anne,Pallier,apallier@aelia.com,Corpus Christi,TX,78476,3/7/2018,Email Blast,323-453-2779,No
49,Mr,Didier,Paris C76,apayneoi@aol.com,Eureka,CA,95501,11/18/2018,Partner Promotion,608-336-7444,Yes
50,Mrs,Anne-Marie,Perrin,aperiin@dewingu.com,Manchester,CT,6040,9/21/2018,Partner Promotion,,No
51,Mr,Aaron,Phillippe,aphillippe@axa.com,Saint Louis,MO,63109,9/17/2018,Email Blast,212-402-9216,Yes
52,Mrs,Anne,Phillipe,aphillippe@lmg.com,Spring Valley,WI,54767,9/21/2018,Social Media,931-875-6644,No
53,Mrs,Carole,Porele,aporele@united.com,Paterson,NJ,7501,3/9/2018,Analyst Recommendations,803-925-5213,Yes
54,Mr,Etienne,Reyes,areyesip@stanford.edu,Austin,TX,78744,9/2/2018,Email Blast,610-814-5533,Yes
55,Mr,Xavier,Ricet,ariced5@united.com,Murrieta,CA,92562,4/13/2018,Analyst Recommendations,908-877-6135,Yes
56,Mrs,Ingrid,Richard,arichardsonkm@free.com,San Diego,CA,92103,10/12/2014,Email Blast,516-968-6051,Yes
57,Mr,Salvatore,Robert,aroberts1v@plasticomnium.com,Stlouis,MO,63101,7/20/2018,Social Media,,Yes
58,Mr,Thierry,Roger,arogers4x@github.io,Saint Louis,MO,63146,11/16/2018,Email Blast,,No
59,Mrs,CEJDA,Rilland,arrilliand@aa.com,Tukwila,WA,98168,12/1/2018,Partner Promotion,401-458-2547,No
60,Mr,Philippe,Ruiz,aruizfc@tinypic.com,Jacksonville,FL,32216,8/23/2018,Social Media,215-211-9589,No
61,Mr,Nick,Schmidt,aschmidt94@aa.com,Akron,OH,44303,1/18/2018,Analyst Recommendations,401-960-8259,No
62,Mr,Yves,Scott,ascottea@jetblue.com,Kansas City,KS,66215,11/3/2018,Email Blast,732-234-1546,No
63,Mr,Cong-Thach ,Simmons,asimmonsdt@g.co,Fargo,ND,58102,1/7/2018,Partner Promotion,512-486-3817,No
64,Mr,Antonio,Spencer,aspencerrf@umich.edu,Kansas City,MO,64106,6/9/2018,Partner Promotion,303-724-7371,Yes
65,Mrs,Michele,Stanley,astanleyqm@keyrus.com,Charlotte,NC,28273,6/5/2018,Social Media,414-748-1374,Yes
66,Mrs,Nina,Stevens,astevens7w@amazon.com,Spokane,WA,99201,6/17/2018,Analyst Recommendations,212-674-9610,Yes
67,Mr,Herve,Stone,astonee1@aa.com,Phoenix,AZ,85040,12/15/2014,Analyst Recommendations,907-797-9628,Yes
68,Mr,Antonio,Tillisi,atillisi@bouygues.com,Houston,TX,77036,8/15/2018,Email Blast,814-393-5571,Yes
69,Mr,Francois,West,awest62@rambler.ru,Minneapolis,MN,55406,10/2/2018,Analyst Recommendations,410-914-9018,Yes
70,Mr,Emmanuel,Wheeler,awheelerjy@gleeden.com,Washington,DC,20036,4/3/2018,Email Blast,208-862-5339,Yes
71,Mr,Albert,William,awilliam@solvay.com,Bato Rouge,LA,70815,7/20/2018,Social Media,415-315-2761,No
72,Mr,Olivier,Boyd,bboydfb@yandex.ru,College Park,MD,20741,6/21/2018,Email Blast,919-225-9345,No
73,Mr,Daniel,Cook,bcook9b@jimdo.com,Philadelphia,PA,19125,5/17/2018,Email Blast,,No
74,Mr,Etienne,Elliott,belliottdw@sita.com,Big Piney,WY,83113,12/7/2018,Email Blast,925-647-3298,No
75,Mr,Renaud,Ellis,bellis2d@stmicro.com,Omaha,NE,68124,5/4/2018,Email Blast,740-343-575,No
76,Mr,Bill,FIELDS,bfields@axa.com,Indianapolis,IN,46225,5/15/2018,Email Blast,585-866-8313,No
77,Mr,Hubert,Gomez,bgomezks@printfriendly.com,Miami,FL,33165,7/28/2018,Email Blast,,Yes
78,Mr,Marc-Alexandre,Harris,bharrisku@jetblue.com,Miles,TX,76861,8/28/2018,Email Blast,973-354-2040,Yes
79,Mr,Benjamin,Hayes,bhayes32@google.co.uk,Arlington,TX,76011,3/30/2018,Email Blast,,Yes
80,Mrs,Beatrice,Jacob,bjacobs13@google.pl,Richmond,IN,47374,4/17/2018,Email Blast,973-927-3447,Yes
81,Mr,Yves,Lopez,blopez2z@washingtonpost.com,Wales,AK,99783,8/11/2018,Email Blast,505.975.8559,No
82,Mrs,Betty,Macoi,bmacoi@schineiderelectric.com,Greenwood,MS,38903,2/2/2018,Analyst Recommendations,718-332-6527,No
83,Mr,Julien,Mor+C109son,bmorrison4n@webmd.com,Chicago,IL,60606,5/16/2018,Email Blast,9047754480,No
84,Mr,Bilal,Pakita,bpakita@united.com,Charlotte,NC,28202,9/15/2018,Email Blast,510-993-3758,Yes
85,Mr,Nicolas,Perez,bperezke@webs.com,Barrow,AK,99723,3/11/2018,Email Blast,,Yes
86,Mr,Philippe,Perry,bperrydm@usda.gov,Mount Clemens,MI,48044,4/6/2018,Email Blast,817-914-7518,Yes
87,Mrs,Brenda,Phillips ,bphillipsey@canalblog.com,Lawrence,MA,1840,12/9/2018,Social Media,310-774-7643,Yes
88,Mr,Francois,Porteur,bporteur@areva.com,San Diego,CA,92103,2/12/2014,Email Blast,847-728-7286,No
89,Mr,Philippe,Riley,brileye7@southwest.com,Mililani,HI,96789,11/4/2018,Email Blast,,No
90,Mr,Pascal,Roberts,broberts4w@yahoo.com,Madison,WI,53704,10/8/2018,Email Blast,215-255-1641,No
91,Mr,Bessem,Ruiz,bruizlz@southwest.com,Houston,TX,77028,7/15/2018,Partner Promotion,650-80-1936,No
92,Mr,Guillaume,Sanders,bsanders8y@scientificamerican.com,Newark,NJ,7102,1/23/2018,Partner Promotion,626-572-1096,No
93,Mr,Philippe,Stewart,bstewart6a@imageshack.us,Bato,LA,19103,8/20/2018,Email Blast,254-782-8569,
94,Mrs,Martine,  Stone,bstone8d@cmacgm.com,Morristown,NJ,7960,11/2/2018,Partner Promotion,907-870-5536,Yes
95,Mrs,Peggy,Stone,bstonego@census.gov,Bato Rouge,LA,70815,3/29/2018,Email Blast,,Yes
96,Mr,Didier,Weaver,bweaver7g@comsenz.com,Birmingham,AL,35222,9/8/2018,Analyst Recommendations,510-503-7169,Yes
97,Mr,Benjamin,Williams,bwilliamsmq@united.com,Anaheim,CA,92801,12/17/2014,Social Media,317-722-5066,
98,Mr,Dan,Arnold,carnoldcu@house.gov,Green Bay,WI,54304,8/26/2018,Email Blast,307.704.8713,
99,Mr,Thierry,Banks,cbanksps@southwest.com,Wichita,KS,67226,8/1/2018,Email Blast,703-235-3937,
100,Mr,Cedric,Bellot,cbellot@minefi.org,Peoria,IL,61602,3/9/2018,Email Blast,(504)7105840,
101,Mr,Bouchaib,Bennett,cbennettbg@southwest.com,Philadelphia,PA,19123,10/11/2018,Email Blast,303-301-4946,
